ITEM CODE,PARTICULARS,SIZE,Weight
CKBR0823,ASTHOTRA LAKSHMI LAMP,38.5", 17.56 
CKBR0824,PARVATHI BUST,10", 2.8 
CKBR0825,BUDDHA BUST,11.5", 5.5 
CKBR0827,7 SANGU GANESHA (RED),7", 2.25 
CKBR0829,ELEPHANT (RED),7", 3.2 
CKBR0830,ELEPHANT (RED),7", 3.8 
CKBR0832,CRAWLING GANESHA (RED),11.5", 6.1 
CKBR0834,GANESH(S.W),8.5", 3.7 
CKBR0835,GANESH,12", 6.54 
CKBR0839,GURUVAYURAPPPAN,17", 5.8 
CKBR0840,HAPPY MAN (RED),17", 8.7 
CKBR0841,PEACOCK SARASWATHI,7", 1.4 
CKBR0842,ANNAM 6 FACE HANGING LAMP,19", 1.22 
CKBR0843,BUDDHA HEAD,4.5", 0.58 
CKBR0844,NAVAGRAGAM (9PC),7", 7.8 
CKBR0845,DURGA DEVI,9", 3.1 
CKBR0849,CHAIN BELL (RED),21", 0.5 
CKBR0855,KRISHNA (RED),15", 4.56 
CKBR0857,LAKHMI (S.W),2", 0.12 
CKBR0860,HAPPY MAN (RED),3", 0.33 
CKBR0861,UNJAL GANESHA (RED),17.5", 6.58 
CKBR0863,KUBER,10", 3.53 
CKBR0867,GANESH PLATE WORK,8.5", 0.16 
CKBR0868,GANESH PLATE WORK,9", 0.16 
CKBR0869,GANESH PLATE WORK,9", 0.16 
CKBR0870,SANGU,8", 2.4 
CKBR0871,SITTING SHIVAN,6", 1 
CKBR0872,SANGU STAND,2.5", 0.5 
CKBR0873,SITTING LAKSHMI WITH UMBRELLA,18", 7.3 
CKBR0874,SLEEPING GANESH,2.5", 0.62 
CKBR0875,GANESH ON STAND,5.5", 1.12 
CKBR0876,GANESH WITH PEACOCK,5.5", 1.46 
CKBR0878,GANESH,7.5", 1.32 
CKBR0879,GANESH STANDING,9", 2 
CKBR0880,GANESH,8", 4.3 
CKBR0881,GANESH ON STAND,8.5", 0.32 
CKBR0882,GANESH PLATE WORK,13.5", 0.42 
CKBR0883,LAKSHMI PLATE WORK ,13.5", 0.42 
CKBR0884,SHIVAN SITTING,7.5", 1.46 
CKBR0885,SHIVAN SITTING,6.5", 1.6 
CKBR0886,DURGA ON LION,5.5", 1.04 
CKBR0887,DURGA ON LION WITH ARCH,7.5", 1.34 
CKBR0890,PAVAIVILLAKU,6.5", 0.7 
CKBR0891,CANDLE STAND,8.5", 1.36 
CKBR0892,SLEEPING BUDDHA,3.5", 1.48 
CKBR0893,SLEEPING BUDDHA WITH STAND,3.5", 1.34 
CKBR0894,PAVAIVILLAKU,16", 4.6 
CKBR0896,BUDDHA WITH ARCH,11.5", 4.76 
CKBR0898,MAN WALL HANGING,11", 3.74 
CKBR0899,GIRL WALL HANGING,7.5", 2.9 
CKBR0900,GIRL WALL HANGING,8", 3.24 
CKBR0904,ELEPHANT,6.5", 3.02 
CKBR0905,POOJA MANDAPAM,17", 1.52 
CKBR0906,MODERN ART,9", 0.72 
CKBR0907,CANDLE STAND,6", 0.22 
CKBR0908,SNAKE LAMP,3", 0.58 
CKBR0909,ANNAM LAMP,8", 0.8 
CKBR0910,ANNAM LAMP,8", 0.8 
CKBR0911,KUTTUVILLAKU,8.5", 0.84 
CKBR0912,KUTTUVILLAKU,8.5", 0.84 
CKBR0913,ELEPHANT URLI,2.5", 0.46 
CKBR0914,URLI,2", 0.52 
CKBR0915,SHEET URLI,2.5", 0.21 
CKBR0916,URLI,2.5", 0.78 
CKBR0917,CHIRSTMAS DEER,9.5", 0.16 
CKBR0918,ANNAM LAMP BIG,9.5", 2.78 
CKBR0919,ANNAM LAMP BIG,9.5", 2.78 
CKBR0920,LAMP,11", 4.18 
CKBR0922,KUTTUVILLAKU SMALL,5.5", 0.12 
CKBR0924,KUTTUVILLAKU,8", 0.12 
CKBR0925,KUTTUVILLAKU,8", 0.14 
CKBR0926,KUTTUVILLAKU,8", 0.16 
CKBR0927,KUTTUVILLAKU,8", 0.14 
CKBR0928,KUTTUVILLAKU,8", 0.14 
CKBR0929,KUTTUVILLAKU,8", 0.14 
CKBR0931,CANDLE STAND,9", 0.4 
CKBR0932,3 LAMP WITH STAND,8.5", 0.82 
CKBR0933,KUTTUVILLAKU,20.5", 2.14 
CKBR0935,PLATE (M.COLOUR),11.5", 0.32 
CKBR0936,PLATE,13", 0.88 
CKBR0937,PLATE,13", 0.92 
CKBR0938,LOTUS WITH STAND,24", 3.22 
CKBR0939,KRISHNA ON SNAKE,29", 20.72 
CKBR0940,LION,15", 14.04 
CKBR0945,BUDDHA SANDSTONE,9", 3.74 
CKBR0957,SMALL LAMP,1.5",NA
CKBR0975,AYYAPAN,5.5", 0.78 
CKBR0976,STANDING GANESHA FINE,19.5", 10.4 
CKBR0984,TREE,19", 3.8 
CKBR0986,LAKSHMI WITH ARCH,9", 2.25 
CKBR0987,SARASWATHI WITH ARCH,9.5", 2.4 
CKBR0988,URLI WITH DIYA,12.5", 5.7 
CKBR0989,GANESH ON PEACOCK,14", 4.3 
CKBR0990,DIYA FINE,10", 2.4 
CKBR0999,AYYAPAN,8", 1.8 
CKBR1002,PEACOCK DIYA,6.5", 1.5 
CKBR1006,GANESH LAMP 6 FACE,6", 1.1 
CKBR1008,LAMP ON STAND,3", 0.95 
CKBR1017,WALL HANGING LAMP,7", 0.7 
CKBR1021,LAKSHMI LAMP,5", 0.7 
CKBR1023,GANESH WALL HANGING DIYA,14", 2.9 
CKBR1034,GANESH (S.W),6.5", 2.3 
CKBR1035,GANESHA FINE (S.W),15", 11.7 
CKBR1038,DIYA ON STAND,4.5", 0.5 
CKBR1052,SPL KUTTTU VILLAKU,63", 33.6 
CKBR1060,GANESHA SITTING (S.W),11", 7.3 
CKBR1062,GANESHA STANDING,11.5", 3.5 
CKBR1066,GANESHA KUTTUVILLAKU,19.5", 4.8 
CKBR1067,LAKSHMI KUTTUVILLAKU,19.5", 4.6 
CKBR1068,SAI BABA SITTING,9.5", 3.1 
CKBR1071,SWAN URLI,12", 4.1 
CKBR1078,SWAN ,10", 2.4 
CKBR1079,SHIP WITH WOOD BASE,17.5", 2.7 
CKBR1080,TIRUPATHI BALAJI FINE,15.5", 6.08 
CKBR1081,KRISHNA WITH COW,12", 4.5 
CKBR1083,NATARAJA,11", 2.1 
CKBR1084,BALAJI FACE,12", 4.1 
CKBR1085,BUDDHA STONE FINISH,8", 2 
CKBR1086,PARROT ON STAND,10", 1 
CKBR1087,LADY WITH MIRROR,10", 1 
CKBR1094,FANCY WALL HANGING 5 FACE LAMP,11.5", 0.9 
CKBR1095,AFRICAN ELEPHANT,7", 2.75 
CKBR1104,LGS REVOLVING,14.5", 7.8 
CKBR1105,DOLPHIN ,6", 0.5 
CKBR1107,URLI,2.5", 0.7 
CKBR1113,PANCHAMUKHI HANUMAN SITTING GREEN ANTIQUE,7", 2.15 
CKBR1115,ELEPHANT LAMP ,6", 1.55 
CKBR1133,GANESHA WALL HANGING PLATE,7", 1.8 
CKBR1134,GANESHA WALL HANGING,9", 2.5 
CKBR1138,SQAURE CHOWKI WITH STAND,6.5", 5.1 
CKBR1139,GLS LAMP WALL HANGING,12", 6.8 
CKBR1145,MAN ON CART ANTIQUE FINISH,4", 1.1 
CKBR1148,FANCY LADY ,11", 2.8 
CKBR1150,CAMEL,5.5", 0.95 
CKBR1153,ANTIQUE BOX,3", 0.32 
CKBR1158,TRIBAL ELEPHANT ,6", 0.71 
CKBR1173,NANDHI GREEN,4.5", 1.3 
CKBR1179,5 FACE HAND DEEPAM,10", 0.65 
CKBR1180,PEACOCK LAMP WITH STAND,10.5", 2.2 
CKBR1181,PEACOCK LAMP WITH STAND,10.5", 2.2 
CKBR1193,JHULA KRISHNA WITH PARROT LAMP,9", 2.1 
CKBR1203,MAN WITH POT,6.5", 2.2 
CKBR1205,GANESH ON LOTUS BASE,5", 0.9 
CKBR1208,RUNNING HORSE ,6.5", 0.45 
CKBR1209,FANCY TRIBAL GANESHA,8", 0.5 
CKBR1210,LAKSHMI WALL HANGING LAMP,12", 1.85 
CKBR1213,RAM DHARBAR,7", 1.9 
CKBR1214,ELEPHANT STORAGE ,6", 1.5 
CKBR1216,BUDDHA IN HAND (GREEN),6", 0.9 
CKBR1217,HANUMAN WITH PARVAT,9", 2.2 
CKBR1220,LAMP,2", 0.2 
CKBR1227,3 FACE HAND LAMP,10", 0.6 
CKBR1232,ARABIC CALENDAR WALL HANING,11", 1.1 
CKBR1233,BELL WITH MAN,6", 0.4 
CKBR1240,TRIBAL COW,4", 0.4 
CKBR1241,FANCY LADY (GREEN),8", 1 
CKBR1245,GANESH BLESSING (3 COLOUR),7.5", 2.5 
CKBR1246,GANESH BLESSING (3 COLOUR),8.5", 4.2 
CKBR1248,PANCHAMUKHA GANESH (BROWN),4.5", 1.3 
CKBR1249,READING GANESH (BROWN),5", 1.5 
CKBR1251,PANCHAMUKHA GANESH SMALL,3", 0.35 
CKBR1259,LAKSHMI (3 COLOUR),10", 1.7 
CKBR1267,HAPPY MAN (BROWN & GOLD ),6.5", 0.97 
CKBR1270,BUDDHA (3 CLOUR),8.5", 2.5 
CKBR1271,TRISUL GANESHA (3 COLOUR),8", 1.4 
CKBR1275,SUN WALL HANGER,4.5", 0.22 
CKBR1276,VISHNU,8", 1.3 
CKBR1280,PANCHAMUKHA HANUMAN,3", 0.55 
CKBR1281,RAJARAJESHWARI,4.5", 0.8 
CKBR1294,VISHNU LAKSHMI ON KARUDHAN,3", 0.15 
CKBR1296,TARA SITTING,3.5", 0.4 
CKBR1297,KARUDHAN ,5", 0.95 
CKBR1298,LAKSHMI NARSHIMAR,4.5", 0.5 
CKBR1302,KUBER,3", 0.25 
CKBR1303,VISHNU LAKSHMI,3.5", 0.5 
CKBR1307,MURUGAN ON PEACOCK,3", 0.3 
CKBR1310,WALL HANGING LAMP,9.5", 0.7 
CKBR1311,YALI,5", 1 
CKBR1320,TIGER,3.5", 1.1 
CKBR1323,HAPPY MAN,6", 1.2 
CKBR1330,SARASWATHI ON ANNAM ,4.5", 1 
CKBR1332,BUDDHA,6", 1 
CKBR1333,EAGLE ON STAND,5", 0.75 
CKBR1338,RADHA,6.5", 0.7 
CKBR1340,DHANVANTRI,4.5", 0.3 
CKBR1341,BABY BUDDHA,5", 0.5 
CKBR1344,WALL HANGING LAMP,10.5", 0.55 
CKBR1345,WALL HANGING LAMP,10.5", 0.55 
CKBR1349,AGAL LAMP,2", 0.03 
CKBR1350,GANESHA SITTING (STONE FINISH),11", 5.45 
CKBR1351,GANESHA SITTING ,9.5", 5.1 
CKBR1352,VEERA GANESHA ,11.5", 3.7 
CKBR1354,GANESHA LAMP,11.5", 2.1 
CKBR1355,FANCY GANESHA,10.5", 3.9 
CKBR1358,BUDDHA (BLUE),6.5", 0.97 
CKBR1360,BUDDHA (YELLOW),9.5", 3.1 
CKBR1361,BUDDHA IN HAND WITH LAMP,10.5", 2.9 
CKBR1363,BUDDHA BUST WITH LOTUS BASE,7", 1.9 
CKBR1372,TREE WITH STAND (GREEN),12", 1.55 
CKBR1374,KRISHNA WITH COW ,9", 3.2 
CKBR1375,RADHAKRISHNA UNDER TREE,10.5", 3.5 
